Adj Close,High,Low,Open,Volume,Close
351.495819,353.975006,349.859985,350.619995,384300,353.75
349.439026,355.095001,351.26001,354.720001,382100,351.679993
351.754181,354.920013,352.044006,352.820007,276600,354.01001
357.050201,359.429993,356.209991,356.920013,285300,359.339996
361.998474,365.545013,360.959991,361.5,341100,364.320007
358.789063,364.299988,360.350006,362.359985,234300,361.089996
361.928925,365.929993,362.859985,365.630005,130600,364.25
365.098602,368.600006,364.73999,365.299988,152500,367.440002
367.304443,369.910004,367.790009,367.98999,207500,369.660004
365.923309,369.670013,366.450012,367.76001,283200,368.269989
364.085114,369.76001,365.410004,368.459991,249800,366.420013
356.672607,362.640015,357.019989,361.660004,436100,358.959991
354.715179,359.214996,355.559998,358.359985,469000,356.98999
351.386536,356.130005,353.149994,354.339996,395500,353.640015
359.931732,362.76001,357.660004,357.820007,253600,362.23999
359.375305,366.299988,361.23999,366.0,263400,361.679993
361.432098,364.809998,361.320007,364.809998,236300,363.75
364.412994,368.25,364.799988,364.839996,387800,366.75
369.589783,372.420013,368.359985,369.109985,309900,371.959991
368.983673,371.829987,369.169006,370.25,199600,371.350006
367.542908,369.98999,364.390015,367.019989,404500,369.899994
361.531464,365.709991,360.959991,362.76001,416100,363.850006
352.241058,360.950012,354.380005,360.720001,490800,354.5
344.699432,347.880005,344.309998,346.5,635200,346.910004
346.438263,349.390015,344.98999,345.410004,419800,348.660004
336.909393,346.799988,338.480011,346.660004,569900,339.070007
333.9086,338.799988,334.61499,338.799988,554500,336.049988
332.487732,338.084991,334.424988,337.649994,398700,334.619995
333.749664,337.179993,334.26001,334.420013,224400,335.890015
336.184021,339.890015,337.589996,339.709991,332100,338.339996
334.802887,338.964996,336.869995,338.559998,188300,336.950012
336.273438,340.200012,336.589996,339.0,271800,338.429993
335.567963,337.940002,335.049988,336.209991,342200,337.720001
331.22583,335.029999,331.299988,331.73999,275600,333.350006
332.289032,338.040009,334.054993,335.579987,312400,334.420013
332.795746,337.5,333.290009,333.359985,264300,334.929993
341.947083,344.25,338.75,338.75,366400,344.140015
340.903748,345.230011,341.070007,342.880005,413100,343.089996
349.180695,351.48999,345.459991,346.420013,543500,351.420013
348.296356,354.214996,347.73999,353.519989,252200,350.529999
349.061432,351.450012,348.359985,350.440002,249300,351.299988
344.530487,347.869995,339.839996,340.970001,366000,346.73999
341.102478,343.700012,339.834991,342.160004,290600,343.290009
344.888214,347.605011,344.829987,345.730011,229100,347.100006
347.183502,350.200012,345.670013,346.279999,194000,349.410004
335.011536,342.660004,337.140015,341.779999,488800,337.160004
331.176117,334.160004,330.540009,333.959991,366700,333.299988
333.10376,337.394989,334.619995,336.959991,338800,335.23999
333.203125,335.339996,330.154999,333.970001,376600,335.339996
338.00238,341.0,337.950012,339.0,504300,340.170013
342.732025,344.98999,338.730011,339.799988,300600,344.929993
347.183502,350.299988,347.290009,348.0,382300,349.410004
343.715729,354.684998,345.920013,353.109985,386400,345.920013
386.968353,391.420013,372.690002,372.779999,1609900,389.450012
376.833344,380.399994,371.5,379.869995,694700,379.25
369.291718,374.640015,368.799988,370.920013,447700,371.660004
376.11792,379.269989,373.790009,373.790009,318900,378.529999
378.611938,385.890015,380.700012,384.059998,305100,381.040009
382.69574,385.73999,380.0,381.040009,271000,385.149994
390.058533,393.589996,389.290009,389.920013,252800,392.559998
384.782349,390.600006,386.334991,390.0,234200,387.25
374.43869,380.619995,375.309998,378.779999,278500,376.839996
380.01297,382.890015,378.799988,380.0,161100,382.450012
386.620575,389.790009,386.269012,388.320007,185000,389.100006
386.749756,391.570007,388.829987,390.850006,231600,389.230011
387.961975,392.356995,389.339996,390.480011,255300,390.450012
399.706635,402.679993,393.920013,394.23999,351500,402.269989
409.225616,412.98999,407.660004,407.660004,327400,411.850006
413.418732,417.799988,414.070007,415.73999,282500,416.070007
416.657928,419.880005,416.619995,419.220001,319500,419.329987
418.625305,424.160004,417.359985,418.790009,405400,421.309998
425.829132,430.079987,425.160004,426.160004,341800,428.559998
422.063263,427.890015,418.095001,427.829987,483800,424.769989
422.639587,426.556,422.910004,425.0,216500,425.350006
410.934662,415.049988,408.790009,411.119995,396300,413.570007
408.838074,413.75,409.940002,413.179993,224000,411.459991
413.975159,417.049988,411.519989,412.079987,363500,416.630005
419.062531,421.790985,418.619995,419.820007,163900,421.75
418.05896,426.459991,420.720001,424.51001,278700,420.73999
410.368286,418.084991,412.959991,417.290009,257200,413.0
421.298187,425.059998,414.179993,415.859985,410100,424.0
419.758057,425.066986,420.480011,421.320007,162800,422.450012
417.701263,424.859985,419.01001,424.600006,190200,420.380005
421.834747,424.540009,421.200012,422.459991,207800,424.540009
423.812073,429.404999,424.720001,426.420013,220000,426.529999
430.598511,433.600006,429.0,431.209991,351900,433.359985
431.373596,435.529999,431.220001,432.779999,242800,434.140015
428.362854,433.790009,428.529999,432.350006,238500,431.109985
430.528992,434.98999,430.920013,432.059998,131700,433.290009
436.788849,442.23999,438.450012,438.859985,186300,439.589996
435.179169,442.799988,437.970001,441.480011,173400,437.970001
436.361572,442.730011,438.589996,442.619995,131300,439.160004
433.162109,438.679993,435.559998,437.480011,176400,435.940002
428.99881,436.795013,430.049988,435.429993,166500,431.75
416.91629,426.600006,419.029999,425.940002,304800,419.589996
416.836792,421.200012,410.880005,413.149994,303100,419.51001
411.391724,423.339996,413.589996,419.440002,424100,414.029999
416.190918,421.390015,414.779999,415.649994,186700,418.859985
420.851044,425.709991,421.619995,424.540009,284400,423.549988
417.820496,423.109985,415.25,422.5,217200,420.5
417.144836,422.029999,414.25,414.25,247400,419.820007
417.701263,421.809998,415.350006,420.0,163000,420.380005
407.784851,413.880005,409.799988,411.540009,250000,410.399994
408.311462,419.820007,410.0,419.48999,218000,410.929993
408.718842,413.559998,409.700012,412.019989,203400,411.339996
413.349152,419.76001,413.415009,419.220001,264800,416.0
409.990692,417.899994,410.339996,413.980011,216100,412.619995
406.04599,416.700012,408.100006,415.829987,282900,408.649994
410.269989,410.915009,405.505005,406.480011,179900,410.269989
424.73999,425.549988,417.540009,418.600006,273400,424.73999
420.329987,424.910004,418.0,422.579987,237200,420.329987
412.209991,415.024994,409.859985,411.619995,510000,412.209991
422.459991,422.730011,416.730011,417.019989,217500,422.459991
422.440002,422.75,417.691986,418.920013,146800,422.440002
415.700012,419.519989,413.006989,416.549988,217700,415.700012
